QA output created by 1989

pcp-slabinfo output : Display default output
Linux  5.4.17-2136.317.5.3.el8uek.x86_64  (localhost.localdomain)  08/02/23  x86_64    (4 CPU)
TimeStamp         Name                               active_objs         num_objs         objsize byte         objperslab         pagesperslab         active_slabs         num_slabs
10:25:20          nf_conntrack                             225                225                320                25                   2                  9                  9
10:25:20          nf_conntrack_expect                        0                  0                248                16                   1                  0                  0
10:25:20          numa_policy                               31                 31                264                31                   2                  1                  1
10:25:20          pde_opener                               408                408                 40               102                   1                  4                  4
10:25:20          pid                                      992                992                128                32                   1                 31                 31
10:25:20          pid_namespace                              0                  0                240                17                   1                  0                  0
10:25:20          PINGv6                                     0                  0               1344                24                   8                  0                  0
10:25:20          pool_workqueue                           640                640                256                16                   1                 40                 40
10:25:20          proc_dir_entry                           819                819                192                21                   1                 39                 39
10:25:20          proc_inode_cache                       10403              10902                712                23                   4                474                474
10:25:20          radix_tree_node                        30352              30352                584                28                   4               1084               1084
10:25:20          RAW                                       84                 84               1152                28                   8                  3                  3
10:25:20          RAWv6                                     72                 72               1344                24                   8                  3                  3
10:25:20          request_queue                             39                 39               2488                13                   8                  3                  3
10:25:20          request_sock_TCP                           0                  0                336                24                   2                  0                  0
10:25:20          request_sock_TCPv6                         0                  0                336                24                   2                  0                  0
10:25:20          rpc_inode_cache                           23                 23                704                23                   4                  1                  1
10:25:20          scsi_sense_cache                         160                160                128                32                   1                  5                  5
10:25:20          search                                     0                  0                680                24                   4                  0                  0
10:25:20          shmem_inode_cache                       1533               1533                752                21                   4                 73                 73
10:25:20          sighand_cache                            338                360               2112                15                   8                 24                 24
10:25:20          signal_cache                            1119               1232               1152                28                   8                 44                 44
10:25:20          skbuff_ext_cache                         128                128                128                32                   1                  4                  4
10:25:20          skbuff_fclone_cache                       64                 64                512                16                   2                  4                  4
10:25:20          skbuff_head_cache                        608                608                256                16                   1                 38                 38
10:25:20          sock_inode_cache                        1089               1159                832                19                   4                 61                 61
10:25:20          squashfs_inode_cache                      69                 69                704                23                   4                  3                  3
10:25:20          task_delay_info                         8721               8721                 80                51                   1                171                171
10:25:20          task_group                                 0                  0                832                19                   4                  0                  0
10:25:20          task_struct                              566                640               5824                 5                   8                128                128
10:25:20          taskstats                                 92                 92                344                23                   2                  4                  4
10:25:20          TCP                                       52                 52               2432                13                   8                  4                  4
10:25:20          TCPv6                                     48                 48               2560                12                   8                  4                  4
10:25:20          trace_event_file                        2024               2024                 88                46                   1                 44                 44
10:25:20          tw_sock_TCP                               87                 87                280                29                   2                  3                  3
10:25:20          tw_sock_TCPv6                              0                  0                280                29                   2                  0                  0
10:25:20          UDP                                      100                100               1280                25                   8                  4                  4
10:25:20          UDPv6                                     88                 88               1472                22                   8                  4                  4
10:25:20          user_namespace                             0                  0                600                27                   4                  0                  0
10:25:20          userfaultfd_ctx_cache                      0                  0                192                21                   1                  0                  0
10:25:20          uts_namespace                              0                  0                440                18                   2                  0                  0
10:25:20          vm_area_struct                         33984              34340                232                17                   1               2020               2020
10:25:20          vmap_area                              26304              26304                 64                64                   1                411                411
10:25:20          xfrm_dst_cache                           756                756                384                21                   2                 36                 36
10:25:20          xfs_btree_cur                             72                 72                224                18                   1                  4                  4
10:25:20          xfs_buf                                20718              20718                448                18                   2               1151               1151
10:25:20          xfs_buf_item                             240                240                272                30                   2                  8                  8
10:25:20          xfs_da_state                              68                 68                480                17                   2                  4                  4
10:25:20          xfs_dqtrx                                  0                  0                528                31                   4                  0                  0
10:25:20          xfs_dquot                                  0                  0                496                16                   2                  0                  0
10:25:20          xfs_efd_item                             414                414                440                18                   2                 23                 23
